Date,Category,Product Brand Name And Type,Barcode,Quantity,Unit,Unit Weight (Kg),Total Weight (Kg),Unit Price (GBP),Total Price (GBP),Location/Store
02-07-2024,Bread and bread products,"Tesco All Butter Almond Croissant (C), Bakery",3063330,4,Item,0.08,0.32,1.1,4.4,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Pineapple Chunks 145G, Fruit and Veg",3339374,6,Item,0.16,0.94,1.3,7.8,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Mixed Peppers 420G (C), Fruit and Veg",3274880,10,Item,0.57,5.65,2.2,19,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Beansprout & Vegetable Stir Fry 320g (EXP), Fruit and Veg",3471319,1,Item,0.32,0.32,1.7,1.5,Market Drayton
02-07-2024,Fresh vegetables,"Tesco.Reduced Fat Houmous 200G (C), Fruit and Veg",10008232,2,Item,0.22,0.44,1.4,2.8,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Ready To Eat Large Avocados Each (C), Fruit and Veg",3236772,6,Item,0.22,1.34,1.1,6.6,Market Drayton
02-07-2024,Fresh vegetables,"Jaffa Orange Minimum 4 Pack (C), Fruit and Veg",10004241,5,Item,0.75,3.74,2.3,11.5,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Black Bean Stir Fry Sauce 165g, Fruit and Veg",3449837,1,Item,0.18,0.18,1.2,1.15,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Tenderstem & Mixed Vegetable 160G, Fruit and Veg",3285541,1,Item,0.18,0.18,1.9,1.9,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Finest Baby Tomatoes 220G, Fruit and Veg",3428665,1,Item,0.25,0.25,2.3,2.3,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Carrot Cauliflower And Brocc 300G, Fruit and Veg",3286784,2,Item,0.31,0.62,1.25,2.7,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Finest Sweet & Fiery Beetroot 180G, Fruit and Veg",3403877,1,Item,0.19,0.19,1.75,1.7,Market Drayton
02-07-2024,Fresh vegetables,"Tesco Celery Sticks 250G, Fruit and Veg",3335246,2,Item,0.28,0.55,1.1,2.2,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Brown Onions 485G, Fruit and Veg",3041444,1,Item,0.63,0.63,1.1,1.1,Market Drayton
